BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
-413.478,94.3008,-29.7643,19.2253,3.12037,-13.8237,7.83414,-18.8573,-5.25436,5.57861,-8.21792,2.23018,-4.63389,-7.77832,-2.49262,-8.16014,-0.355347,4.52982,0.176262,2.12854,-1.36381
-403.407,94.2287,-30.0791,20.688,0.0922072,-10.6112,11.6428,-15.6364,0.0871867,2.50977,-9.3255,3.18998,-8.01984,-5.46129,0.146286,-7.48228,2.0025,0.618001,-2.48488,2.20403,-3.24042
-409.039,91.7033,-30.482,18.6108,-4.4503,-11.671,11.6905,-18.3722,-2.57338,1.69241,-9.52661,1.71879,-8.68272,-4.76947,-1.40799,-8.86832,1.32383,-0.115893,-2.24448,5.48633,-1.37384
-411.443,90.5575,-30.5476,19.6134,-2.72468,-14.5542,8.63743,-18.1924,-2.11735,1.56578,-10.861,0.66933,-8.8102,-7.53793,-1.59606,-7.71636,-0.736908,-0.362024,-2.61339,2.61479,-1.48291
-405.945,90.2835,-31.0343,22.269,-3.29599,-13.4487,11.0146,-17.3403,-2.33703,0.299283,-10.0365,0.959651,-9.5529,-6.54238,-2.15122,-8.51657,-0.37948,-2.01794,-2.52721,3.63226,-3.74785
-407.877,88.7313,-31.0838,22.871,-5.90238,-14.715,9.85848,-17.4537,-2.47974,-2.13068,-9.36783,0.973412,-11.7015,-4.53688,-3.42497,-10.248,2.04851,-2.38193,-1.81052,3.75146,-5.44703
-411.217,87.48,-34.0406,23.8656,-3.79248,-15.8113,8.55515,-18.161,-1.47984,-0.414456,-9.89444,0.626203,-10.8848,-6.07523,-2.87436,-7.72821,1.87157,-1.63791,-0.385002,3.68963,-3.72347
-406.29,86.892,-37.6022,25.365,0.289917,-17.0528,9.16246,-14.0477,-3.05899,-2.2897,-8.39774,0.916691,-12.7539,-6.77579,-4.36584,-8.64264,2.55515,-2.61586,-0.831961,4.09737,-6.68874
-414.407,85.8817,-34.5737,26.5447,-3.83805,-16.6574,9.25817,-17.1141,-0.619324,-1.02865,-10.5214,1.32161,-13.06,-8.34112,-1.48966,-8.3045,0.810763,-2.81274,-3.49958,2.45105,-4.19007
-372.984,55.9146,-11.9214,26.7635,-14.0579,13.1271,-12.0195,10.7086,-10.5291,1.06993,-4.56854,-0.119556,0.220235,-5.59635,-0.601427,-5.66937,-0.168014,-4.31327,1.34341,-2.92406,1.50071
-336.701,45.5359,-15.7753,22.1129,-13.7436,16.479,-21.4912,11.5841,-13.0647,11.6622,-6.82616,3.2837,-9.37141,-4.13572,0.737403,-4.74426,2.72624,-6.02629,2.57629,-6.13224,-0.107571
-352.033,57.1037,-17.7308,22.8732,-14.6416,15.3013,-14.2999,5.57268,-6.09803,9.18641,-0.933441,-1.85317,-4.77801,-1.03785,1.13066,-4.40094,1.92267,-0.986131,5.17309,-3.00446,1.34759
-389.364,82.5612,-39.622,26.8836,-9.38026,-2.71605,0.230645,-13.7589,5.64568,-4.74773,3.68092,-4.60939,-8.04915,1.09765,-6.73607,0.789953,-4.41219,1.92247,2.2239,-4.11105,2.04169
-409.591,90.3948,-42.1477,18.9553,-4.54668,-17.3246,8.03139,-17.7815,-0.510532,1.82105,-8.09785,0.563345,-12.8047,-3.3941,1.91356,-9.16876,-1.29593,-1.00878,-0.642051,2.78381,-5.05878
-409.257,92.2498,-39.3064,20.8507,-3.17066,-13.869,9.93293,-18.0373,-0.417624,3.25094,-7.47743,3.09468,-9.36587,-3.6734,-0.461658,-7.36757,2.18901,1.96662,0.0193011,1.67861,-4.38893
-410.463,92.4287,-37.7729,19.6967,-1.98083,-11.1291,7.06652,-18.3863,2.27852,2.84462,-7.72522,3.23708,-10.3553,-4.47357,-0.913072,-8.76616,0.786785,-0.184209,-0.116909,3.05847,-4.13667
-411.937,92.3187,-36.6467,22.5074,-2.24159,-9.83064,8.80786,-19.3791,4.45511,3.97347,-8.34321,3.85924,-9.46259,-4.32157,0.350992,-8.08397,2.3414,0.85411,0.360942,2.9292,-4.83949
-411.087,90.0262,-38.4252,21.0298,-6.39671,-13.948,7.4573,-19.2636,0.905991,0.808807,-10.469,0.993435,-11.0182,-2.63846,-1.52876,-9.78815,1.322,-0.784702,0.528294,2.98888,-5.42985
-414.342,91.9022,-36.9083,22.5705,-3.18142,-12.7244,9.12979,-19.5833,1.17208,4.93332,-7.40732,2.17457,-11.1216,-3.58376,-0.546316,-8.83785,3.08267,0.799509,-0.704145,2.72222,-4.49997
-412.026,95.1249,-34.6281,22.8321,2.88426,-11.9022,12.1797,-14.229,0.697843,6.19897,-7.17664,4.39606,-7.53614,-5.37925,1.68849,-7.75374,2.16193,2.69679,-2.04417,4.6266,-1.79453
-414.051,93.7745,-34.0948,24.1356,-1.6222,-12.6999,14.1975,-13.2597,1.62377,4.40499,-8.36265,4.3597,-8.59553,-4.49742,2.01344,-8.46672,2.03586,1.46596,0.895339,5.27759,-2.68177
-413,91.3215,-36.2867,22.4028,-4.64766,-9.98491,11.3703,-16.8648,2.1171,2.29721,-8.76256,2.97414,-9.97299,-2.1096,-2.62653,-9.82636,5.4052,0.357822,0.651857,4.43928,-4.60112
-405.957,94.8242,-32.0507,25.4346,-2.42718,-9.9799,15.825,-10.3477,4.51801,1.51766,-9.40125,3.74247,-8.24427,-1.73543,0.310489,-7.86394,3.77412,0.139917,0.912488,4.30358,-5.07402
-409.467,92.6456,-37.1654,24.3778,-0.88561,-8.26487,13.003,-12.9417,5.42996,1.38442,-9.9366,3.91977,-9.68234,-3.80311,-0.358013,-5.88873,7.08438,0.930674,1.76106,4.42878,-3.81012
-412.519,89.8197,-40.6161,24.2491,-3.82281,-13.1522,12.64,-15.1916,1.75348,0.522458,-10.9215,2.52329,-11.2757,-5.51798,-0.690616,-7.07712,4.27606,0.613942,0.775072,4.41225,-4.60909
-414.013,89.5023,-38.8584,25.389,-2.29876,-9.41957,14.697,-12.7529,4.04335,2.00631,-10.7193,0.976713,-11.7757,-4.00418,-2.04574,-7.64743,5.72675,2.22575,1.87217,3.97898,-4.67684
-417.338,88.147,-38.3275,26.7642,-1.99014,-12.9272,12.0192,-13.4796,3.52448,0.193445,-11.3715,2.55141,-11.5436,-6.77912,-3.69245,-7.73949,4.56916,1.23393,1.54308,2.78818,-5.2018
-421.055,91.5172,-37.3182,23.6445,-2.39062,-15.4708,11.2462,-14.0475,0.550805,2.81576,-10.9777,2.32242,-8.20427,-5.74348,-0.10926,-5.4502,2.65545,0.456556,1.05491,4.04361,-3.05003
