A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000125877,0.598336,2.12777,0,2.9397,0.114615,0.065161,0,1.22743,1.534,0.336317,1.02841
0.000360727,0.399285,1.54613,0,3.28776,0.080615,0.135768,0,0.997385,1.83978,0.242764,1.04433
0.00031335,0.448682,1.38365,0,3.33539,0.0549077,0.204047,0.0134521,0.927042,1.92285,0.0464909,0.908588
0.140382,0.607821,1.45238,0.00150848,3.48835,0.153625,0.119818,0.0794421,1.07199,1.49627,8.17512e-05,0.735134
0.390078,0.622765,1.57142,0.00452989,3.6099,0.316827,0.0467142,0,1.73256,1.25985,7.59425e-06,0.662078
0.0332035,0.474827,1.60228,0,3.5743,0.26833,0.0430503,0,1.81715,1.13115,5.309e-05,0.600073
0.000662209,0.503117,1.52034,0,3.4643,0.25058,0.0413481,0,1.47397,1.37024,0.000172678,0.854439
0.000664867,0.305534,1.42994,0,3.39289,0.118753,0.180649,0,1.23556,1.662,0.00267174,1.20861
0.152828,0.170741,1.29867,0.00316688,3.30908,0.0332488,0.0411491,0,0.85395,1.84277,0.00264361,1.08132
0.312757,0.106853,2.44951,0.00162677,2.81451,0.0629829,0.0564587,0.0401909,0.338283,1.82097,0,0.669546
0.306738,0,3.57048,0,2.06012,0.159498,0.178108,0.0385707,0.191009,1.9479,0,0.574486
0.440696,0,3.93131,0,1.50718,0.375396,0.449772,0.135455,0.179972,1.89382,0,0.44604
0.420563,0.000855496,3.89399,0,1.40061,0.31502,0.419182,0.0498297,0.120437,1.85243,0.011937,0.282409
0.374209,0.217204,3.7025,0.00195546,1.70653,0.108572,0.383325,0.0110666,0.0192101,1.74043,0.0033242,0.248374
0.342452,1.4553,2.97917,0.111853,2.21334,0.267922,0.105474,0.00260486,0.170865,1.73896,0,0.19441
0.0866279,2.19862,1.55016,0.0143344,2.64409,0.081351,0.511316,0,0.43483,2.151,0.290964,0.356522
6.57004e-05,2.43054,0.687908,0.0148968,2.78353,0.0371421,0.508653,0.0930845,0.561824,2.47346,0.304353,0.411689
0,2.45935,0.601102,0.0126301,2.76129,0.0028142,0.267712,0.222917,0.453376,2.77817,0.265657,0.354429
0.0112604,2.39068,0.459457,0.000201586,2.75166,0.0562256,0.145924,0.332004,0.410488,2.79346,0.0382529,0.346888
0.341543,2.29677,0.351666,0,2.87936,0,0.360696,0.39724,0.0321472,2.48822,0.117177,0.397352
1.08859,1.81587,0.0436424,0,2.48864,0,0.793182,0.972783,0.00555711,1.56749,0.445502,0.0215905
1.27531,2.11131,0.00562305,0.00419091,1.94985,0.116525,0.577674,1.03815,0.00470873,1.40314,0.435543,0.0472382
1.20551,2.5205,0.00539279,0,1.99753,0.241703,0.281115,1.00695,0.00395272,1.18587,0.24739,0.0834807
1.11555,2.77266,0.0162051,0.334783,2.08469,0.289495,0.201613,0.859043,0.0060334,1.06569,0.0178801,0.117885
0.745897,2.47846,0.0743151,0.19253,2.72644,0.0814156,0.109978,0.43358,0.466961,1.21218,0.0072016,0.105589
0.104909,1.11062,0.0705942,0.107228,3.22716,0.0107805,0.086757,0.157795,1.02688,1.23782,0.000808965,0.707099
0.100617,0.541381,0.0665266,0.302349,3.24045,0.0569946,0.0265468,0.21217,0.777339,1.00013,0.174329,0.972528
0.000384522,0.356091,0.0472363,0.392928,3.38927,0.0758151,0.0201423,0.104062,0.566876,1.26246,0.302451,1.05515
0.000491164,0.240245,0.025726,0.392542,3.70846,0.0872689,0.0276408,0.0789803,0.438466,1.41162,0.328937,1.09186
0.0535938,0.187868,0.18533,0,3.9125,0.0159149,0.0484544,0.0720155,0.325754,1.35728,0.254369,1.03104
0.24815,0.216734,0.315461,0.110114,3.54724,0.0242813,0.0637764,0.0623257,0.339347,1.33553,0,0.944347
0.212621,0.393373,0.403877,0.201779,3.20048,0.0262899,0.241282,0.211293,0.339582,1.32123,0.119775,0.939189
0.214927,1.26451,0.453994,0.0444445,3.4798,0.0234377,0.289333,0.199944,0.233691,1.29663,0.0089884,0.736717
0.403247,1.36713,0.417468,0,3.34255,0.00879274,0.304131,0.238733,0.491133,1.39532,0.00991556,0.900944
0.755482,1.09879,0.289313,0.0264231,3.31272,0.0145023,0.306576,0.291983,0.611242,1.57491,0,0.890569
0.486179,1.13222,0.124557,0.0346017,3.29268,0.159744,0.340704,0.18929,1.05617,1.78246,0,0.9154
